No,Kode_Kecamatan,Kode_Kelurahan,Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT,Tanggal Jatuh Tempo,Daerah
909,340,7,400.0,0.0,0.0,2000.0,8649.0,169.0,31/08/2018 ,CIPEUNDEUY
910,340,10,663.0,0.0,0.0,17901.0,11309.0,221.0,31/08/2018 ,CIPEUNDEUY
911,171,6,42.0,35.0,429000.0,6527.0,2960.0,960.0,31/08/2018 ,CIHAMPELAS
912,171,6,42.0,35.0,823000.0,20317.0,2960.0,960.0,31/08/2018 ,CIHAMPELAS
913,180,10,1660.0,0.0,0.0,23240.0,2960.0,960.0,31/12/2018 ,SINDANGKERTA
914,190,7,990.0,0.0,0.0,9900.0,2960.0,960.0,31/08/2018 ,GUNUNGHALU
915,190,7,4000.0,0.0,0.0,40000.0,2960.0,960.0,20/12/2020 ,GUNUNGHALU
916,350,3,800.0,0.0,0.0,11200.0,2960.0,960.0,30/11/2020 ,CIKALONG WETAN
917,350,3,2440.0,24.0,429000.0,34456.0,2960.0,960.0,31/08/2018 ,CIKALONG WETAN
918,190,5,100.0,0.0,0.0,2000.0,4115.0,1334.0,31/12/2020 ,GUNUNGHALU
919,190,5,100.0,0.0,0.0,2000.0,3837.0,1056.0,31/12/2020 ,GUNUNGHALU
920,340,11,100.0,60.0,595000.0,27100.0,3170.0,389.0,30/09/2020 ,CIPEUNDEUY
921,300,7,6860.0,0.0,0.0,878080.0,2781.0,0.0,31/08/2018 ,CISARUA
922,300,7,1540.0,0.0,0.0,98560.0,3500.0,1135.0,31/08/2018 ,CISARUA
923,290,6,420.0,0.0,0.0,11340.0,3500.0,1135.0,31/08/2018 ,LEMBANG
924,760,7,28.0,28.0,823000.0,18644.0,3500.0,1135.0,31/12/2018 ,PARONGPONG
925,170,7,84.0,0.0,0.0,2268.0,171527.0,47232.0,31/08/2018 ,CILILIN
926,171,7,606.0,0.0,0.0,38784.0,141696.0,17401.0,30/11/2020 ,CIHAMPELAS
927,170,11,400.0,0.0,0.0,5600.0,5740.0,0.0,31/08/2018 ,CILILIN
928,350,5,400.0,0.0,0.0,8000.0,185014.0,60004.0,31/12/2018 ,CIKALONG WETAN
929,340,12,300.0,0.0,0.0,6000.0,172513.0,47503.0,31/08/2018 ,CIPEUNDEUY
930,340,12,300.0,0.0,0.0,6000.0,142511.0,17501.0,31/08/2018 ,CIPEUNDEUY
931,340,12,400.0,0.0,0.0,5600.0,95343.0,11708.0,31/08/2018 ,CIPEUNDEUY
932,340,12,650.0,0.0,0.0,9100.0,83635.0,0.0,31/08/2018 ,CIPEUNDEUY
933,340,12,300.0,0.0,0.0,6000.0,204800.0,0.0,31/08/2018 ,CIPEUNDEUY
