Luas Bumi SPPT,Luas Bangunan SPPT,NJOP_BUMI,PPB yang harus dibayar,SPPT yang dibayar,Denda SPPT
"72.0,36.0,823000.0,47124.0,128160.0,0.0"
"72.0,36.0,823000.0,37124.0,22752.0,0.0"
"72.0,36.0,823000.0,37124.0,22032.0,0.0"
"72.0,36.0,823000.0,47124.0,26880.0,0.0"
"72.0,36.0,823000.0,47124.0,45312.0,0.0"
"72.0,36.0,823000.0,47124.0,847974.0,242278.0"
"72.0,36.0,823000.0,47124.0,17152.0,0.0"
"72.0,36.0,823000.0,47124.0,68850.0,0.0"
"72.0,36.0,823000.0,47124.0,79866.0,11016.0"
"72.0,36.0,823000.0,47124.0,19264.0,0.0"
"72.0,36.0,823000.0,47124.0,18816.0,0.0"
"72.0,36.0,823000.0,37124.0,13215.0,0.0"
"72.0,36.0,823000.0,47124.0,32064.0,0.0"
"97.0,36.0,823000.0,43199.0,4480.0,0.0"
"72.0,36.0,823000.0,47124.0,20412.0,0.0"
"72.0,36.0,823000.0,47124.0,45315.0,0.0"
"60.0,31.0,968000.0,34588.0,148490.0,0.0"
"60.0,22.0,823000.0,32686.0,12162.0,0.0"
"60.0,22.0,823000.0,32686.0,11592.0,3192.0"
"72.0,36.0,823000.0,47124.0,9576.0,1176.0"
"210.0,110.0,1200000.0,513020.0,8400.0,0.0"
"126.0,0.0,0.0,42210.0,12787.0,4147.0"
"84.0,36.0,968000.0,45260.0,8640.0,0.0"
"99.0,36.0,968000.0,48905.0,28971.0,9396.0"
"60.0,36.0,968000.0,39428.0,28971.0,9396.0"
"60.0,36.0,968000.0,39428.0,64032.0,17632.0"
"60.0,36.0,968000.0,39428.0,46400.0,0.0"
"60.0,36.0,968000.0,39428.0,35520.0,11520.0"
"60.0,36.0,968000.0,39428.0,35520.0,11520.0"
"60.0,36.0,968000.0,39428.0,66240.0,18240.0"
"61.0,36.0,968000.0,39671.0,48000.0,0.0"
"61.0,36.0,968000.0,39671.0,17079.0,5539.0"
"280.0,0.0,0.0,68040.0,21240.0,0.0"
"75.0,35.0,823000.0,33605.0,38095.0,12355.0"
"1080.0,0.0,0.0,29160.0,55796.0,6852.0"
"1140.0,0.0,0.0,30780.0,48944.0,0.0"
"1200.0,0.0,0.0,32400.0,116683.0,37843.0"
"1676.0,0.0,0.0,23464.0,186880.0,0.0"
"160.0,0.0,0.0,10240.0,51200.0,0.0"
"3454.0,0.0,0.0,24696.0,31968.0,10368.0"
"1440.0,0.0,0.0,20160.0,31968.0,10368.0"
"312.0,0.0,0.0,6240.0,631856.0,204926.0"
"6830.0,0.0,0.0,703490.0,60620.0,0.0"
"406.0,0.0,0.0,41818.0,224000.0,0.0"
"1068.0,0.0,0.0,28836.0,99630.0,0.0"
"4870.0,0.0,0.0,131490.0,452432.0,0.0"
"600.0,0.0,0.0,16200.0,462984.0,0.0"
"300.0,0.0,0.0,6000.0,199500.0,0.0"
"400.0,0.0,0.0,14400.0,5740.0,0.0"
"400.0,0.0,0.0,14400.0,39015.0,0.0"
"1200.0,0.0,0.0,43200.0,30240.0,0.0"
"400.0,0.0,0.0,14400.0,6720.0,0.0"
"1120.0,0.0,0.0,40320.0,16072.0,0.0"
"750.0,0.0,0.0,27000.0,74005.0,24001.0"
"500.0,0.0,0.0,18000.0,74005.0,24001.0"
"780.0,0.0,0.0,28080.0,98674.0,32002.0"
"750.0,0.0,0.0,27000.0,92007.0,25335.0"
"3150.0,0.0,0.0,113400.0,129843.0,15945.0"
"1870.0,0.0,0.0,37400.0,113898.0,0.0"
"1500.0,0.0,0.0,54000.0,22377.0,7257.0"
"960.0,0.0,0.0,34560.0,29836.0,9676.0"
"1550.0,0.0,0.0,55800.0,29836.0,9676.0"
"1300.0,0.0,0.0,46800.0,52348.0,6428.0"
"800.0,0.0,0.0,28800.0,45920.0,0.0"
"700.0,0.0,0.0,25200.0,67200.0,0.0"
"960.0,0.0,0.0,34560.0,201600.0,0.0"
"800.0,0.0,0.0,21600.0,2819.0,0.0"
"200.0,35.0,429000.0,27815.0,44800.0,0.0"
"200.0,35.0,429000.0,27815.0,164297.0,0.0"
"200.0,0.0,0.0,4000.0,67200.0,0.0"
"400.0,0.0,0.0,10800.0,25396.0,8236.0"
"600.0,0.0,0.0,16200.0,25396.0,8236.0"
"400.0,0.0,0.0,10800.0,25396.0,8236.0"
"400.0,0.0,0.0,10800.0,25396.0,8236.0"
"600.0,0.0,0.0,16200.0,49728.0,16128.0"
"400.0,0.0,0.0,10800.0,46368.0,12768.0"
"100.0,0.0,0.0,3600.0,38304.0,4704.0"
"360.0,35.0,429000.0,28055.0,33600.0,0.0"
"250.0,0.0,0.0,16000.0,8465.0,2745.0"
"280.0,0.0,0.0,7560.0,8465.0,2745.0"
"832.0,0.0,0.0,22464.0,11200.0,0.0"
"832.0,0.0,0.0,22464.0,85215.0,0.0"
"832.0,0.0,0.0,22464.0,133916.0,7580.0"
"236.0,0.0,0.0,6372.0,24000.0,0.0"
"236.0,0.0,0.0,6372.0,309909.0,38059.0"
"236.0,0.0,0.0,6372.0,5554000.0,0.0"
"400.0,35.0,700000.0,28900.0,122138.0,14999.0"
"400.0,35.0,700000.0,28900.0,65828.0,8084.0"
"735.0,0.0,0.0,19845.0,57744.0,0.0"
"735.0,0.0,0.0,19845.0,79686.0,21942.0"
"735.0,0.0,0.0,19845.0,57744.0,0.0"
"420.0,0.0,0.0,8400.0,39995.0,0.0"
"455.0,0.0,0.0,9100.0,29241.0,0.0"
"325.0,0.0,0.0,4550.0,26700.0,0.0"
"1000.0,0.0,0.0,394000.0,17999.0,0.0"
"140.0,0.0,0.0,8960.0,18582.0,2563.0"
"800.0,0.0,0.0,11200.0,34398.0,0.0"
"1000.0,0.0,0.0,14000.0,23274.0,0.0"
"448.0,0.0,0.0,12096.0,17472.0,0.0"
"500.0,0.0,0.0,80000.0,32345.0,0.0"
"160.0,24.0,968000.0,18992.0,461090.0,0.0"
"151.0,100.0,823000.0,108993.0,982600.0,0.0"
"1199.0,0.0,0.0,11990.0,4522.0,0.0"
"200.0,0.0,0.0,2000.0,14157.0,0.0"
"200.0,0.0,0.0,2000.0,10725.0,0.0"
"98.0,35.0,505000.0,15711.0,5506.0,0.0"
"210.0,0.0,0.0,17220.0,2000.0,0.0"
"400.0,0.0,0.0,8000.0,3218.0,0.0"
"138.0,48.0,429000.0,17216.0,8938.0,0.0"
"84.0,0.0,0.0,5376.0,2758.0,0.0"
"840.0,0.0,0.0,53760.0,10234.0,0.0"
"280.0,0.0,0.0,28840.0,2380.0,0.0"
"70.0,0.0,0.0,11200.0,43400.0,0.0"
"500.0,0.0,0.0,80000.0,4228.0,0.0"
"126.0,40.0,823000.0,35898.0,4228.0,0.0"
"305.0,30.0,823000.0,34210.0,47600.0,0.0"
"150.0,0.0,0.0,4050.0,125488.0,13445.0"
"210.0,0.0,0.0,17220.0,3360.0,360.0"
"210.0,0.0,0.0,17220.0,240930.0,0.0"
"168.0,0.0,0.0,13776.0,115782.0,12405.0"
"273.0,0.0,0.0,22386.0,6504.0,696.0"
"210.0,105.0,968000.0,108860.0,22078.0,0.0"
"168.0,0.0,0.0,13776.0,8930.0,0.0"
"140.0,60.0,968000.0,59560.0,2000.0,0.0"
"3080.0,0.0,0.0,43120.0,2000.0,0.0"
"60.0,0.0,0.0,12000.0,2000.0,0.0"
"770.0,0.0,0.0,154000.0,3920.0,0.0"
"195.0,35.0,505000.0,46675.0,12930.0,0.0"
"155.0,140.0,968000.0,156520.0,12080.0,0.0"
"84.0,48.0,700000.0,40400.0,24580.0,0.0"
"75.0,0.0,0.0,6150.0,8456.0,0.0"
"168.0,70.0,595000.0,65250.0,6240.0,0.0"
"70.0,0.0,0.0,5740.0,2000.0,0.0"
"70.0,47.0,968000.0,41236.0,7380.0,0.0"
"70.0,50.0,595000.0,25490.0,11930.0,0.0"
"112.0,60.0,823000.0,141972.0,4200.0,0.0"
"90.0,40.0,823000.0,164490.0,24140.0,0.0"
"112.0,112.0,1200000.0,300576.0,199701.0,24525.0"
"143.0,73.0,1200000.0,302539.0,4022.0,494.0"
"180.0,70.0,1200000.0,357140.0,21250.0,2610.0"
"120.0,60.0,968000.0,236840.0,18640.0,0.0"
"120.0,60.0,968000.0,236840.0,53760.0,0.0"
"120.0,60.0,968000.0,236840.0,45920.0,0.0"
"120.0,60.0,968000.0,236840.0,54160.0,0.0"
"147.0,60.0,968000.0,279311.0,16506.0,0.0"
"146.0,60.0,968000.0,277738.0,4312.0,0.0"
"90.0,65.0,823000.0,69145.0,3346.0,0.0"
"56.0,40.0,595000.0,39760.0,10220.0,0.0"
"35.0,30.0,595000.0,11455.0,8120.0,0.0"
"256.0,0.0,0.0,26368.0,8465.0,2745.0"
"70.0,60.0,823000.0,56390.0,8465.0,2745.0"
"492.0,50.0,823000.0,171370.0,8465.0,2745.0"
"140.0,0.0,0.0,8960.0,8465.0,2745.0"
"1190.0,100.0,968000.0,162960.0,8465.0,2745.0"
"72.0,40.0,823000.0,192264.0,8465.0,2745.0"
"102.0,128.0,1200000.0,393504.0,8465.0,2745.0"
"102.0,128.0,1200000.0,383504.0,16576.0,5376.0"
"102.0,128.0,1200000.0,393504.0,15456.0,4256.0"
"102.0,128.0,1200000.0,383504.0,12768.0,1568.0"
"102.0,127.0,1200000.0,392304.0,11200.0,0.0"
"230.0,339.0,1516000.0,2089768.0,4144.0,1344.0"
"105.0,127.0,1200000.0,399360.0,3864.0,1064.0"
"105.0,127.0,1200000.0,399360.0,3192.0,392.0"
"105.0,127.0,1200000.0,389360.0,2800.0,0.0"
"105.0,127.0,1200000.0,389360.0,25396.0,8236.0"
"105.0,127.0,1200000.0,389360.0,25396.0,8236.0"
"105.0,127.0,1200000.0,399360.0,25396.0,8236.0"
"105.0,127.0,1200000.0,389360.0,77280.0,21280.0"
"560.0,332.0,1200000.0,3411040.0,63840.0,7840.0"
"560.0,332.0,1200000.0,3411040.0,56000.0,0.0"
"560.0,332.0,1200000.0,3411040.0,124064.0,0.0"
"958.0,346.0,1200000.0,3987624.0,124064.0,0.0"
"560.0,332.0,1200000.0,3411040.0,124064.0,0.0"
"1000.0,346.0,1200000.0,5514400.0,135236.0,0.0"
"560.0,220.0,1200000.0,3142240.0,101720.0,0.0"
"960.0,346.0,1200000.0,5326240.0,203360.0,0.0"
"1000.0,346.0,1200000.0,5514400.0,101720.0,0.0"
"560.0,220.0,1200000.0,3142240.0,31488.0,10212.0"
"560.0,220.0,1200000.0,3142240.0,34140.0,11072.0"
"559.0,220.0,1200000.0,3137536.0,36887.0,11963.0"
"560.0,220.0,1200000.0,3142240.0,63943.0,17607.0"
"559.0,220.0,1200000.0,3137536.0,80256.0,9856.0"
"560.0,220.0,1200000.0,3142240.0,3528.0,0.0"
"560.0,220.0,1200000.0,3142240.0,11491.0,1411.0"
"560.0,220.0,1200000.0,3142240.0,28000.0,0.0"
"560.0,332.0,1200000.0,3411040.0,5040.0,0.0"
"560.0,220.0,1200000.0,3142240.0,343246.0,0.0"
"560.0,332.0,1200000.0,3411040.0,114552.0,0.0"
"560.0,220.0,1200000.0,3142240.0,22960.0,0.0"
"560.0,332.0,1200000.0,3411040.0,47124.0,0.0"
"560.0,332.0,1200000.0,3431040.0,8640.0,0.0"
"560.0,332.0,1200000.0,3431040.0,10584.0,0.0"
"560.0,220.0,1200000.0,3142240.0,13670.0,0.0"
"1130.0,349.0,1200000.0,6133120.0,30612.0,0.0"
"560.0,220.0,1200000.0,3142240.0,11280.0,0.0"
"560.0,332.0,1200000.0,3411040.0,17070.0,0.0"
"860.0,343.0,1200000.0,4848640.0,14280.0,0.0"
"560.0,332.0,1200000.0,3431040.0,9130.0,0.0"
"560.0,220.0,1200000.0,3142240.0,19360.0,0.0"
"560.0,332.0,1200000.0,3411040.0,11680.0,0.0"
"560.0,0.0,0.0,45920.0,20680.0,0.0"
"715.0,0.0,0.0,58630.0,9130.0,0.0"
"1900.0,0.0,0.0,461700.0,15650.0,0.0"
"70.0,20.0,823000.0,17660.0,7500.0,0.0"
"140.0,20.0,823000.0,28860.0,10458.0,0.0"
"140.0,20.0,823000.0,28860.0,204393.0,66289.0"
"98.0,0.0,0.0,15680.0,187821.0,49717.0"
"56.0,20.0,823000.0,15420.0,172135.0,18443.0"
"98.0,20.0,823000.0,22140.0,44800.0,4800.0"
"101.0,36.0,823000.0,90530.0,44800.0,4800.0"
"90.0,36.0,823000.0,82808.0,23520.0,2520.0"
"165.0,105.0,968000.0,207470.0,96096.0,10296.0"
"282.0,260.0,1200000.0,499964.0,78755.0,25542.0"
"136.0,54.0,823000.0,129914.0,78755.0,25542.0"
"135.0,54.0,823000.0,106937.0,88597.0,28734.0"
"221.0,54.0,823000.0,153119.0,96988.0,31455.0"
"128.0,54.0,823000.0,124298.0,82677.0,26814.0"
"143.0,54.0,823000.0,111233.0,111022.0,36007.0"
"155.0,45.0,823000.0,135845.0,109731.0,29046.0"
"160.0,45.0,823000.0,112955.0,5994.0,1944.0"
"175.0,0.0,0.0,122850.0,8658.0,2808.0"
"150.0,70.0,968000.0,163060.0,8658.0,2808.0"
"90.0,36.0,823000.0,67958.0,2960.0,960.0"
"150.0,0.0,0.0,105300.0,4475.0,1451.0"
"150.0,0.0,0.0,105300.0,30788.0,3298.0"
"149.0,70.0,823000.0,127623.0,28369.0,3039.0"
"90.0,36.0,823000.0,67958.0,39538.0,4236.0"
"90.0,36.0,823000.0,67958.0,6935.0,743.0"
"71.0,22.0,823000.0,46233.0,68544.0,18144.0"
